xmn,xmx,ymn,ymx,conf,filename,confmat,tru_box,pred_class,tru_class
167,249,4027,4116,0.338804513,Z108_Img00017.jpg,FP,,1,0
1641,1724,581,674,0.588509093,Z108_Img00017.jpg,FP,,1,0
5789,5821,3943,3990,0.487713903,Z108_Img00277.jpg,FP,,1,0
5075,5144,628,690,0.260330796,Z108_Img00277.jpg,FP,,1,0
5819,5855,3293,3336,0.482706249,Z108_Img00277.jpg,FP,,1,0
4250,4287,3424,3463,0.482230186,Z108_Img00277.jpg,FP,,1,0
2537,2590,4309,4345,0.254767418,Z108_Img00277.jpg,FP,,1,0
3294,3325,2151,2179,0.468530327,Z108_Img00277.jpg,FP,,1,0
6430,6460,515,546,0.45234111,Z108_Img00277.jpg,FP,,1,0
6812,6844,2964,3014,0.470628887,Z108_Img00277.jpg,FP,,1,0
65,86,1272,1317,0.377067417,Z108_Img00277.jpg,FP,,1,0
4244,4267,4532,4566,0.338947535,Z108_Img00277.jpg,FP,,1,0
5939,5964,3984,4015,0.274720103,Z108_Img00277.jpg,FP,,1,0
5246,5271,4369,4395,0.243981272,Z108_Img00277.jpg,FP,,1,0
5854,5883,3583,3614,0.234685928,Z108_Img00277.jpg,FP,,1,0
5854,5884,3560,3591,0.217017308,Z108_Img00277.jpg,FP,,1,0
2461,2493,4338,4374,0.207261294,Z108_Img00277.jpg,FP,,1,0
2603,2675,4323,4388,0.243764617,Z108_Img00277.jpg,FP,,1,0
5280,5306,257,283,0.317460597,Z108_Img00297.jpg,FP,,1,0
3318,3360,1155,1184,0.363774508,Z108_Img00297.jpg,FP,,1,0
2686,2719,4883,4912,0.356256008,Z108_Img00297.jpg,FP,,1,0
1951,1982,4533,4562,0.349601209,Z108_Img00297.jpg,FP,,1,0
1335,1380,3988,4015,0.338807493,Z108_Img00297.jpg,FP,,1,0
4157,4189,3923,3951,0.315549523,Z108_Img00297.jpg,FP,,1,0
3364,3449,41,119,0.517609765,Z108_Img00297.jpg,FP,,1,0
6527,6554,1983,2026,0.268385142,Z108_Img00297.jpg,FP,,1,0
4049,4174,1555,1681,0.262765497,Z108_Img00297.jpg,FP,,1,0
3885,3958,1166,1260,0.231818125,Z108_Img00297.jpg,FP,,1,0
3857,3982,1149,1275,0.21269156,Z108_Img00297.jpg,FP,,1,0
1336,1379,4013,4040,0.366289616,Z108_Img00297.jpg,FP,,1,0
4082,4140,1583,1652,0.264172904,Z108_Img00297.jpg,FP,,1,0
